name,designation,department,profile_url,vidwan_id,orcid_id,scopus_id,researcher_id,gscholar_id,total_publications,citations_box,google_scholar_citations,h_index,coauthor_count,expertise
Dr Subrata Ghosh,Professor,Department of Textile Technology,https://nitj.irins.org/profile/33221,33221,0000-0001-7150-3308,14827736600,Y-4525-2019,,142,3,,17,457,Materials Science Textiles
Dr Arobindo Chatterjee,Professor,Department of Textile Technology,https://nitj.irins.org/profile/59692,59692,0000-0003-0046-9151,15069355900,Y-1098-2019,ebh2T0sAAAAJ,71,4,,13,49,Materials Science Textiles
Prof VINAY MIDHA,Professor,Department of Textile Technology,https://nitj.irins.org/profile/89941,89941,0000-0002-1630-9382,8447457900,Y-5497-2019,Rln7jKAAAAAJ,140,5,,13,250,Materials Science Textiles
Dr J N Chakraborty,Professor,Department of Textile Technology,https://nitj.irins.org/profile/90069,90069,0000-0002-3789-8913,7101970447,Y-5335-2019,,117,13,,17,64,Chemical Engineering
Prof Sujit Kumar Sinha,Professor,Department of Textile Technology,https://nitj.irins.org/profile/90181,90181,,35459890200,Y-1256-2019,,59,1,,11,85,Materials Science Textiles
Prof Arunangshu Mukhopadhyay,Professor,Department of Textile Technology,https://nitj.irins.org/profile/94268,94268,0000-0002-3879-5262,7201816947,V-3574-2019,zlyCnPsAAAAJ,82,1,,9,9,Materials Science Textiles
Prof Monica Sikka,Professor,Department of Textile Technology,https://nitj.irins.org/profile/90251,90251,0000-0001-8618-2025,57190438002,Y-1567-2019,Kw3ddNoAAAAJ,114,6,,9,98,Materials Science Textiles
Dr Lalit Jajpura,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/52714,52714,0000-0001-7496-6607,6507415538,Y-5747-2019,lalit jajpura,72,1,,8,104,Materials Science Textiles
Dr Awadhesh Kumar Choudhary,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/92035,92035,0000-0002-7893-751X,7102838959,Y-6142-2019,ebh2T0,84,7,,8,85,Materials Science Textiles
Dr Niranjan  Bhowmick,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/90335,90335,0000-0002-8873-8071,16052410600,Y-5320-2019,,17,1,,5,23,Materials Science Textiles
Dr Manas Datta Roy,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/90289,90289,0000-0003-2751-9518,55343417200,Y-5479-2019,,15,1,,5,18,Multidisciplinary Engineering
Dr Palaniswamy N K,Associate Professor,Department of Textile Technology,https://nitj.irins.org/profile/90183,90183,0000-0002-8685-0422,9273444400,U-1300-2019,,25,3,,5,33,Materials Science Textiles
Dr Ghanshyam Neje,Assistant Professor (Grade-II),Department of Textile Technology,https://nitj.irins.org/profile/114000,114000,0000-0003-3486-1733,57202950933,AAG-2476-2020,https://scholar.google.com/citations?user=Na-zLHsA,14,184,,10,25,Multidisciplinary Engineering
Dr Zunjarrao Bapuso Kamble,Assistant Professor (Grade-II),Department of Textile Technology,https://nitj.irins.org/profile/340331,340331,0000-0002-9512-1889,56310274500,HLQ-4942-2023,Ke4MuLgAAAAJ,24,2,,12,33,Materials Science Textiles
Dr Anilkumar Lalchand  Yadav,Assistant Professor (Grade-II),Department of Textile Technology,https://nitj.irins.org/profile/340907,340907,0000-0002-3677-9082,57208796809,IZP-9973-2023,aodj7b8AAAAJ,21,4,,10,94,Materials Science Textiles
Dr K V P Singh,Assistant Professor,Department of Textile Technology,https://nitj.irins.org/profile/95480,95480,0000-0002-9164-3196,57199490895,Y-6680-2019,DN_FSkkAAAAJ,13,1,,4,8,Multidisciplinary Engineering
Dr MUKESH BAJYA,Assistant Professor,Department of Textile Technology,https://nitj.irins.org/profile/340038,340038,0000-0001-7957-6771,57212443348,HLQ-6794-2023,ybwE7REAAAAJ,24,2,,8,93,Materials Science Textiles
Prof Balbir Singh  Kaith,Professor,Department of Chemistry,https://nitj.irins.org/profile/90339,90339,0000-0002-0267-5699,6603295217,U-1889-2019,_499TS4AAAAJ,400,7,,53,460,Multidisciplinary Chemistry
Prof Navin Chandra Kothiyal,Professor,Department of Chemistry,https://nitj.irins.org/profile/97960,97960,0000-0001-6225-1882,8863626000,X-7817-2019,3WEQbgMAAAAJ,81,2,,26,183,Multidisciplinary Chemistry
Dr sangeeta obrai,Associate Professor,Department of Chemistry,https://nitj.irins.org/profile/89945,89945,,7801637746,,,33,385,,14,39,Multidisciplinary Chemistry
Dr Harsh Kumar Manchanda,Associate Professor,Department of Chemistry,https://nitj.irins.org/profile/89949,89949,0000-0003-3874-4614,55363475800,R-1299-2019,,406,2,,37,451,Physical Chemistry
Dr Uma Shanker,Associate Professor,Department of Chemistry,https://nitj.irins.org/profile/89953,89953,0000-0002-2448-3604,55025304300,L-8853-2019,OSdXHS8AAAAJ,190,6,,40,394,Applied Chemistry
Dr Rajeev Jindal,Associate Professor,Department of Chemistry,https://nitj.irins.org/profile/89963,89963,0000-0002-5476-5055,26867765500,Z-3066-2019,https://scholar.google.com/citations?user=pLE4PTYA,151,3,,35,237,Multidisciplinary Chemistry
Dr Vickram Jeet Singh,Associate Professor,Department of Chemistry,https://nitj.irins.org/profile/90159,90159,0000-0002-6854-1503,55468425000,R-3778-2019,kT8Pzz,98,1,,22,194,Physical Chemistry
Dr Jaspreet Kaur,Associate Professor,Department of Chemistry,https://nitj.irins.org/profile/90277,90277,0000-0002-9668-7438,57202041524,AAA-6270-2019,https://scholar.google.com/citations?hl=en&user=NH,109,1,,21,198,Multidisciplinary Chemistry
Dr Manisha Devi,Assistant Professor (Grade-II),Department of Chemistry,https://nitj.irins.org/profile/652764,652764,0000-0001-7862-4962,35182616800,AAC-9638-2020,NWlVe7QAAAAJ,31,1,,15,169,Applied Chemistry
Dr Sadhika Khullar,Assistant Professor,Department of Chemistry,https://nitj.irins.org/profile/89987,89987,0000-0001-7290-0823,55471715100,Q-6728-2019,https://scholar.google.com/citations?user=1YLbgQ4A,98,7,,28,379,Inorganic and Nuclear Chemistry
Dr Vimal Kumar,Assistant Professor,Department of Chemistry,https://nitj.irins.org/profile/90299,90299,0000-0003-1387-6709,54952591300,Y-2590-2019,https://scholar.google.com/citations?hl=en&user=le,75,1,,22,281,Inorganic and Nuclear Chemistry
Prof Sangeeta Garg,Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/94951,94951,0000-0002-7831-5972,7401716680,V-7105-2019,uL-CHc8AAAAJ,1,1,,1,1,Chemical Engineering
Dr Renu Gupta,Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90011,90011,0000-0002-9730-3969,55754852800,X-8937-2019,U1H8JZEAAAAJ,39,4,,12,75,Chemical Engineering
Prof Ajay Bansal,Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90093,90093,0000-0002-0066-0530,57131320700,B-8337-2015,https://scholar.google.com/citations?user=xwmdl3IA,79,1,,22,125,Chemical Engineering
Dr Mithilesh Kumar Jha,Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/21939,21939,0000-0003-1190-3910,7005049664,P-7856-2015,https://scholar.google.com/citations?user=c6jANkQA,109,1,,22,162,Multidisciplinary Chemistry
Dr N.K. Srivastava,Associate Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/89971,89971,0001-7924-3395,57091225400,X-8402-2019,https://scholar.google.com/citations?user=b7nsRNcA,,,,,,Environmental Engineering
Dr Shailendra Bajpai,Associate Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90021,90021,0000-0001-9024-8656,57206400648,Y-1072-2019,-05K_goAAAAJ,59,1,,15,74,Chemical Engineering
Dr Poonam Gera,Associate Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90059,90059,0000-0003-4457-0999,57190955491,X-8427-2019,https://scholar.google.com/citations?user=1Y4T-kgA,50,3,,11,114,Chemical Engineering
Dr Jatinder Kumar Ratan,Associate Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90215,90215,0000-0002-0804-816X,57201499375,Y-2571-2019,PVpEQo,55,1,,13,143,Chemical Engineering
Dr Raj Kumar Arya,Associate Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90213,90213,0000-0003-1210-108X,56023616700,E-8633-2012,Dc3-hxwAAAAJ,144,4,,19,452,Chemical Engineering
Dr Umashankar Erigi,Assistant Professor (Grade-II),Department of Chemical Engineering,https://nitj.irins.org/profile/651930,651930,0000-0002-3255-2040,57222568265,,yaS7AFEAAAAJ,3,14,,2,5,Chemical Engineering
Dr Nitin Pandhare,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90121,90121,0000-0001-9977-875X,57092692100,X-7970-2019,https://scholar.google.co.in/citations?user=dKulrt,15,1,,8,68,Chemical Engineering
Dr D Giribabu,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90369,90369,0000-0002-5270-1445,56380553900,Y-1354-2019,https://scholar.google.co.in/citations?user=S8cDuZ,11,76,,5,23,Chemical Engineering
Dr Neetu  Divya,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90173,90173,0000-0002-8151-0920,55095122700,X-8565-2019,0u7mV4cAAAAJ,21,1,,9,48,Chemical Engineering
Dr Anurag Kumar Tiwari,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90169,90169,0000-0002-1360-1388,7101772284,I-3675-2017,lblRCPMAAAAJ,16,2,,,40,Chemical Engineering
Dr Amit Dhruv Saran,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90165,90165,0000-0003-0541-3835,36553263600,Y-1838-2019,AmN6NbQAAAAJ,26,294,,8,49,Materials Science Multidisciplinary
Dr Deepak Sahu,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/90099,90099,0000-0002-0807-2717,57188584768,X-8494-2019,sahud@nitj.ac.in,33,1,,4,141,Chemical Engineering
Dr Anjireddy Bhavanam,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/89985,89985,0000-0001-8906-6775,55851682000,X-8604-2019,0Q_Z1FoAAAAJ&hl,25,1,,9,77,Chemical Engineering
Dr Shashikant Yadav,Assistant Professor,Department of Chemical Engineering,https://nitj.irins.org/profile/89951,89951,0000-0002-3772-1456,57214081423,X-7833-2019,https://scholar.google.co.in/citations?user=Zz9rLG,23,1,,10,61,Chemical Engineering
Prof Subhash Chander,Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90279,90279,0000-0003-3849-7895,57194024754,X-8591-2019,chanders@nitj.ac.in,20,46,,3,14,Mechanical Engineering
Dr Joseph Anand Vaz,Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90193,90193,0000-0003-1787-8023,7103061084,S-3373-2019,nDsPWCQAAAAJ,56,3,,9,37,Robotics
Dr Dushyant  Singh,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/132593,132593,0000-0003-1016-4407,57209912237,A-4962-2010,w_jAnoYAAAAJ,80,1,,14,71,Mechanical Engineering
Dr Rabinder Singh Bharj,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/89939,89939,,57190213344,X-8628-2019,R S bharj,60,1,,15,110,Energy and Fuels
Dr Sarbjot Singh Sandhu,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90403,90403,0000-0003-2337-2256,56941472300,X-8486-2019,epuogiEAAAAJ,84,1,,14,133,Mechanical Engineering
Mr Ajay Trehan,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90391,90391,0000-0002-7097-1094,,,,1,,,,1,Mechanical Engineering
Dr Rajeev Kukreja,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90255,90255,0000-0001-7807-741X,57193812955,X-7820-2019,Xl5Kl8EA,53,1,,9,97,Mechanical Engineering
Dr S K Tiwari,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90125,90125,0000-0003-2861-586x,36810783900,X-8520-2019,tiwarisk@nitj.ac.in,39,1,,14,57,Mechanical Engineering
Dr Pramod Kumar,Associate Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/89995,89995,0000-0003-4330-6002,57189844339,X-8098-2019,UllTk0AAAAJ,91,7,,20,234,Mechanical Engineering
Dr Dwesh Kumar Singh,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90167,90167,0000-0001-5228-3047,56673321400,N-6771-2017,NQajvcQAAAAJ&hl=en,37,2,,12,105,Mechanical Engineering
Dr Saurabh  Kango,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90179,90179,0000-0001-6156-3323,7801632289,I-1568-2019,Mjr3HCQAAAAJ,53,3,,15,196,Mechanical Engineering
Dr Ashok Kumar Bagha,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90201,90201,0000-0003-1455-9115,56529734900,Y-1298-2019,https://scholar.google.com/citations?user=7k6tzDAA,18,200,,8,49,Mechanical Engineering
Dr Sanjay Kumar,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90029,90029,0000-0002-0155-8757,57192280113,X-8465-2019,p2Btse4AAAAJ,53,1,,20,886,Mechanical Engineering
Dr Sumit Sharma,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90023,90023,0000-0002-8916-6036,55452680500,F-1324-2015,_n9bvLYAAAAJ,111,2,,18,255,Materials Science Composites
